YEAR,FIPS,COUNTY,STATE,% INACTIVE
2018,1011,Bullock County,Alabama,17
2018,1029,Cleburne County,Alabama,19.3
2018,1037,Coosa County,Alabama,16.8
2018,1063,Greene County,Alabama,16.8
2018,2013,Aleutians East Borough,Alaska,19.2
2018,2020,Anchorage Municipality,Alaska,17.1
2018,2068,Denali Borough,Alaska,16.2
2018,2090,Fairbanks North Star Borough,Alaska,18.6
2018,2100,Haines Borough,Alaska,15.8
2018,2105,Hoonah-Angoon Census Area,Alaska,15
2018,2110,Juneau City and Borough,Alaska,15.5
2018,2122,Kenai Peninsula Borough,Alaska,19.4
2018,2130,Ketchikan Gateway Borough,Alaska,19
2018,2158,Kusilvak Census Area,Alaska,19.1
2018,2164,Lake and Peninsula Borough,Alaska,17.4
2018,2170,Matanuska-Susitna Borough,Alaska,19.3
2018,2180,Nome Census Area,Alaska,17.3
2018,2195,Petersburg Census Area,Alaska,17.8
2018,2198,Prince of Wales-Hyder Censu,Alaska,17.5
2018,2220,Sitka City and Borough,Alaska,15.5
2018,2230,Skagway Municipality,Alaska,15.8
2018,2240,Southeast Fairbanks Census Area,Alaska,18
2018,2275,Wrangell City and Borough,Alaska,16.7
2018,2282,Yakutat City and Borough,Alaska,16.1
2018,4005,Coconino County,Arizona,15.8
2018,4011,Greenlee County,Arizona,15.3
2018,4013,Maricopa County,Arizona,19.2
2018,4019,Pima County,Arizona,19.1
2018,4023,Santa Cruz County,Arizona,16.4
2018,4025,Yavapai County,Arizona,19.5
2018,5011,Bradley County,Arkansas,19.4
2018,5013,Calhoun County,Arkansas,19
2018,5089,Marion County,Arkansas,19.5
2018,5097,Montgomery County,Arkansas,16.8
2018,5127,Scott County,Arkansas,18.8
2018,5147,Woodruff County,Arkansas,17.5
2018,6001,Alameda County,California,14.7
2018,6003,Alpine County,California,14.3
2018,6005,Amador County,California,17.3
2018,6009,Calaveras County,California,16.3
2018,6011,Colusa County,California,15
2018,6013,Contra Costa County,California,15.3
2018,6015,Del Norte County,California,16.8
2018,6017,El Dorado County,California,16.1
2018,6021,Glenn County,California,14.6
