FIPS,COUNTY_x,% INACTIVE,COUNTY_y,% OBESE
1011,Bullock County,17.0,Bullock County,18.7
2068,Denali Borough,16.2,Denali Borough,18.9
2105,Hoonah-Angoon Census Area,15.0,Hoonah-Angoon Census Area,19.4
2195,Petersburg Census Area,17.8,Petersburg Census Area,17.2
2230,Skagway Municipality,15.8,Skagway Municipality,18.3
5097,Montgomery County,16.8,Montgomery County,19.0
6003,Alpine County,14.3,Alpine County,18.1
6027,Inyo County,15.4,Inyo County,18.1
6041,Marin County,12.5,Marin County,16.5
6043,Mariposa County,13.3,Mariposa County,17.1
6051,Mono County,13.8,Mono County,18.6
6057,Nevada County,12.9,Nevada County,15.7
6061,Placer County,12.3,Placer County,18.9
6063,Plumas County,14.2,Plumas County,18.1
6075,San Francisco County,14.6,San Francisco County,15.4
6087,Santa Cruz County,11.6,Santa Cruz County,17.4
6091,Sierra County,14.1,Sierra County,18.0
8013,Boulder County,9.4,Boulder County,13.6
8014,Broomfield County,11.7,Broomfield County,18.5
8015,Chaffee County,12.5,Chaffee County,14.4
8019,Clear Creek County,14.4,Clear Creek County,18.7
8023,Costilla County,14.8,Costilla County,18.1
8027,Custer County,15.9,Custer County,18.1
8033,Dolores County,13.1,Dolores County,18.8
8035,Douglas County,8.8,Douglas County,19.0
8037,Eagle County,13.6,Eagle County,16.6
8047,Gilpin County,12.9,Gilpin County,17.9
8049,Grand County,12.8,Grand County,16.2
8051,Gunnison County,11.7,Gunnison County,13.8
8053,Hinsdale County,14.5,Hinsdale County,18.5
8057,Jackson County,14.1,Jackson County,17.8
8061,Kiowa County,14.3,Kiowa County,19.2
8067,La Plata County,13.3,La Plata County,18.2
8065,Lake County,13.3,Lake County,18.9
8079,Mineral County,13.0,Mineral County,17.4
8085,Montrose County,17.4,Montrose County,19.1
8091,Ouray County,14.6,Ouray County,17.1
8097,Pitkin County,11.4,Pitkin County,14.2
8103,Rio Blanco County,15.5,Rio Blanco County,17.1
8107,Routt County,11.0,Routt County,13.7
8111,San Juan County,13.6,San Juan County,17.8
8113,San Miguel County,12.6,San Miguel County,17.2
8115,Sedgwick County,16.1,Sedgwick County,18.3
8117,Summit County,11.1,Summit County,15.2
13005,Bacon County,16.3,Bacon County,18.3
13007,Baker County,15.7,Baker County,18.4
13035,Butts County,17.5,Butts County,18.9
13037,Calhoun County,18.4,Calhoun County,19.4
13053,Chattahoochee County,15.3,Chattahoochee County,17.9
13065,Clinch County,15.1,Clinch County,18.5
13101,Echols County,15.2,Echols County,18.6
13109,Evans County,16.2,Evans County,19.1
13119,Franklin County,16.9,Franklin County,19.3
13125,Glascock County,14.1,Glascock County,18.3
13141,Hancock County,14.8,Hancock County,19.1
13147,Hart County,16.8,Hart County,18.3
13149,Heard County,14.5,Heard County,19.1
13155,Irwin County,18.7,Irwin County,19.1
13159,Jasper County,15.2,Jasper County,19.2
13165,Jenkins County,15.2,Jenkins County,19.0
13171,Lamar County,15.6,Lamar County,18.7
13201,Miller County,15.6,Miller County,19.3
13219,Oconee County,15.2,Oconee County,19.0
13237,Putnam County,17.7,Putnam County,18.8
13239,Quitman County,18.7,Quitman County,18.0
13243,Randolph County,14.3,Randolph County,19.0
13249,Schley County,14.8,Schley County,18.6
13259,Stewart County,14.9,Stewart County,17.6
13263,Talbot County,15.1,Talbot County,18.3
13265,Taliaferro County,14.5,Taliaferro County,17.6
13267,Tattnall County,19.2,Tattnall County,18.8
13273,Terrell County,18.8,Terrell County,19.5
13281,Towns County,14.9,Towns County,18.1
13289,Twiggs County,18.8,Twiggs County,18.8
13301,Warren County,17.5,Warren County,18.6
13307,Webster County,14.6,Webster County,17.4
13309,Wheeler County,17.9,Wheeler County,19.3
13311,White County,17.0,White County,19.1
13319,Wilkinson County,14.0,Wilkinson County,16.6
15005,Kalawao County,15.2,Kalawao County,17.6
16013,Blaine County,13.5,Blaine County,15.7
16033,Clark County,14.2,Clark County,18.9
16081,Teton County,15.0,Teton County,18.8
17003,Alexander County,14.2,Alexander County,17.6
17009,Brown County,14.6,Brown County,17.5
17013,Calhoun County,13.7,Calhoun County,18.5
17017,Cass County,14.3,Cass County,17.9
17023,Clark County,18.4,Clark County,19.0
17035,Cumberland County,14.8,Cumberland County,18.1
17039,De Witt County,13.6,De Witt County,18.9
17041,Douglas County,14.3,Douglas County,19.1
17047,Edwards County,15.3,Edwards County,18.8
17053,Ford County,14.0,Ford County,18.9
